id,abv,ibu,nacionalidade_id,nome,estilo,cervejaria_id,oncas
119,0.06,0.00,2337,Charlies Rye IPA,American IPA,146,16.00
120,0.05,0.00,410,River Pig Pale Ale,American Pale Ale (APA),542,16.00
121,0.05,0.00,409,Oakys Oatmeal Stout,Oatmeal Stout,542,16.00
122,0.05,0.00,1294,Angry Orchard Apple Ginger,Cider,434,16.00
123,0.05,0.00,1293,Angry Orchard Crisp Apple,Cider,434,16.00
124,0.05,0.00,1292,Angry Orchard Crisp Apple,Cider,434,12.00
125,0.07,0.00,2207,Golden One,Belgian Pale Ale,193,12.00
126,0.06,0.00,2040,Arjuna,Witbier,193,12.00
127,0.09,0.00,2039,Uroboros,American Stout,193,12.00
128,0.07,75.00,2511,Long Leaf,American IPA,69,16.00
129,0.05,19.00,2510,Honey Badger Blonde,American Blonde Ale,69,16.00
130,0.06,23.00,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.00
131,0.06,55.00,413,Sky High Rye,American Pale Ale (APA),541,12.00
132,0.06,17.00,390,Whitsun,American Pale Wheat Ale,541,12.00
133,0.05,0.00,735,On-On Ale (2008),American Pale Ale (APA),513,12.00
134,0.09,50.00,1333,Quakertown Stout,American Double / Imperial Stout,426,12.00
135,0.05,20.00,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.00
136,0.05,10.00,1172,Mos Gose,Gose,461,16.00
137,0.07,45.00,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.00
138,0.03,27.00,550,Rocket Girl,Kölsch,528,12.00
139,0.05,26.00,429,Ninja Porter,American Porter,528,12.00
140,0.06,69.00,428,Shiva IPA,American IPA,528,12.00
141,0.05,0.00,1640,Aslan Kölsch,Kölsch,353,16.00
142,0.08,0.00,1639,Aslan IPA,American IPA,353,16.00
143,0.08,0.00,1638,Aslan Amber,American Amber / Red Ale,353,16.00
144,0.06,27.00,597,This Seasons Blonde,American Blonde Ale,523,12.00
145,0.07,67.00,596,Independence Pass Ale,American IPA,523,12.00
146,0.06,40.00,1580,Trolley Stop Stout,American Stout,374,12.00
147,0.08,138.00,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.00
148,0.06,35.00,979,Poop Deck Porter,American Porter,374,12.00
149,0.06,35.00,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.00
150,0.07,115.00,2503,Hop A-Peel,American Double / Imperial IPA,72,16.00
151,0.06,12.00,2502,Vanilla Java Porter,American Porter,72,16.00
152,0.05,0.00,2495,Michelada,Fruit / Vegetable Beer,72,16.00
153,0.04,8.00,534,Dirty Blonde Ale,American Blonde Ale,72,12.00
154,0.05,62.00,528,Grand Circus IPA,American IPA,72,12.00
155,0.05,12.00,527,Atwaters Lager,Munich Helles Lager,72,12.00
156,0.07,0.00,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16.00
157,0.06,0.00,343,Fire Eagle IPA,American IPA,413,12.00
158,0.05,0.00,342,Peacemaker,American Pale Ale (APA),413,12.00
159,0.05,0.00,341,Pearl-Snap,German Pilsener,413,12.00
160,0.05,0.00,340,Black Thunder,Schwarzbier,413,12.00
161,0.08,0.00,2589,Raja,American Double / Imperial IPA,37,12.00
162,0.06,0.00,2546,Perzik Saison,Saison / Farmhouse Ale,37,12.00
163,0.05,42.00,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.00
164,0.06,10.00,108,White Rascal,Witbier,37,12.00
165,0.06,69.00,107,Avery India Pale Ale,American IPA,37,12.00
166,0.06,17.00,106,Ellie’s Brown Ale,American Brown Ale,37,12.00
167,0.06,17.00,1620,Pumpkin Beast,Pumpkin Ale,360,12.00
168,0.07,22.00,1579,OktoberBeast,Märzen / Oktoberfest,360,12.00
169,0.05,23.00,1228,Mad Beach,American Pale Wheat Ale,360,12.00
170,0.07,0.00,705,Hog Wild India Pale Ale,American IPA,360,12.00
171,0.09,5.00,704,Devils Tramping Ground Tripel,Tripel,360,12.00
172,0.06,41.00,702,Hot Rod Red,American Amber / Red Ale,360,12.00
173,0.09,0.00,2058,Palate Mallet,American Double / Imperial IPA,235,12.00
174,0.06,0.00,1483,Back East Porter,American Porter,235,12.00
175,0.05,0.00,1426,Back East Golden Ale,American Blonde Ale,235,12.00
176,0.07,0.00,1132,Misty Mountain IPA,American IPA,235,12.00
177,0.05,0.00,1131,Back East Ale,American Amber / Red Ale,235,12.00
178,0.06,0.00,1876,Truck Stop Honey Brown Ale,English Brown Ale,286,12.00
179,0.06,43.00,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.00
180,0.07,70.00,966,Topcutter India Pale Ale,American IPA,483,12.00
181,0.04,38.00,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.00
182,0.07,0.00,2593,Grapefruit Sculpin,American IPA,34,12.00
183,0.04,40.00,2105,Even Keel,American IPA,34,12.00
184,0.05,23.00,1401,Ballast Point Pale Ale,Kölsch,34,12.00
185,0.07,75.00,1400,Big Eye India Pale Ale,American IPA,34,12.00
186,0.05,0.00,1019,Longfin Lager,Munich Helles Lager,34,12.00
187,0.07,70.00,1018,Sculpin IPA,American IPA,34,12.00
188,0.04,0.00,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),318,12.00
189,0.04,20.00,1644,Banner American Rye,Rye Beer,318,12.00
190,0.04,45.00,1643,Banner American Ale,American Amber / Red Ale,318,12.00
191,0.07,46.00,2618,Thai.p.a,American IPA,20,16.00
192,0.06,60.00,2005,Barrio Blanco,American IPA,251,12.00
193,0.04,0.00,1343,Barrio Tucson Blonde,American Blonde Ale,251,12.00
194,0.05,22.00,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.00
195,0.07,60.00,2323,Ultra Gnar Gnar IPA,American IPA,116,12.00
196,0.07,62.00,2189,In-Tents India Pale Lager,American Pale Lager,116,12.00
197,0.05,20.00,2188,Lost Meridian Wit,Witbier,116,12.00
198,0.05,45.00,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.00
199,0.05,55.00,1966,Wagon Party,California Common / Steam Beer,258,12.00
200,0.07,70.00,1965,Sky-Five,American IPA,258,12.00
201,0.05,28.00,1964,Stargrazer,Schwarzbier,258,12.00
202,0.05,48.00,1963,Wonderstuff,German Pilsener,258,12.00
203,0.05,0.00,1855,Tarnation California-Style Lager,California Common / Steam Beer,292,12.00
204,0.07,42.00,1778,On the Count of 3 (2015),Hefeweizen,292,16.00
205,0.05,0.00,1209,Summer Swelter,American Pale Wheat Ale,292,12.00
206,0.07,0.00,954,Phantom Punch Winter Stout,Foreign / Export Stout,292,12.00
207,0.07,0.00,910,Hayride Autumn Ale,Rye Beer,292,12.00
208,0.05,0.00,707,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12.00
209,0.06,35.00,533,Amber Road,American Amber / Red Ale,292,12.00
210,0.05,28.00,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.00
211,0.07,69.00,182,Stowaway IPA,American IPA,292,12.00
212,0.09,108.00,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.00
213,0.05,10.00,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.00
214,0.06,45.00,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.00
215,0.07,85.00,2420,Back Bay IPA,American IPA,103,12.00
216,0.05,16.00,2419,Bunker Hill Blueberry Ale,Other,103,12.00
217,0.06,0.00,2494,Oberon,American Pale Wheat Ale,76,12.00
218,0.06,0.00,2325,Smitten,Rye Beer,76,16.00
219,0.05,0.00,2022,Winter White,Witbier,76,16.00
220,0.06,0.00,1989,Oberon,American Pale Wheat Ale,76,16.00
221,0.07,0.00,1988,Two Hearted,American IPA,76,16.00
222,0.06,0.00,1955,Best Brown,American Brown Ale,76,16.00
223,0.04,44.00,2558,Moar,English India Pale Ale (IPA),53,12.00
224,0.08,0.00,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16.00
225,0.06,27.00,2556,Nordic Blonde,American Blonde Ale,53,12.00
226,0.06,0.00,2496,Cold Press,American Black Ale,75,12.00
227,0.07,87.00,2410,Harness the Winter,American IPA,75,12.00
228,0.06,32.00,1902,14° ESB,Extra Special / Strong Bitter (ESB),75,12.00
229,0.06,68.00,1901,Bent Hop Golden IPA,American IPA,75,12.00
230,0.06,34.00,1261,Bent Paddle Black Ale,American Black Ale,75,12.00
231,0.05,38.00,1253,Venture Pils,German Pilsener,75,12.00
232,0.06,40.00,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.00
233,0.05,20.00,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.00
234,0.08,0.00,1158,La Frontera Premium IPA,American IPA,463,12.00
235,0.05,0.00,1157,Tejas Lager,Czech Pilsener,463,12.00
236,0.06,0.00,1156,Number 22 Porter,American Porter,463,12.00
237,0.06,0.00,1155,Big Bend Hefeweizen,Hefeweizen,463,12.00
238,0.06,0.00,1154,Terlingua Gold,American Blonde Ale,463,12.00
239,0.08,17.00,2104,Aprè Shred,American Strong Ale,220,16.00
240,0.10,104.00,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.00
241,0.04,0.00,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16.00
242,0.07,85.00,1067,Disconnected Red,American Amber / Red Ale,220,16.00
243,0.07,0.00,1003,Big Elm IPA,American IPA,477,12.00
244,0.07,0.00,1002,Gerry Dog Stout,American Stout,477,12.00
245,0.06,0.00,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12.00
246,0.08,54.00,2639,Dark Star,American Stout,8,16.00
247,0.06,0.00,2469,Ryecoe,American IPA,8,16.00
248,0.06,0.00,2586,Blueberry Blonde,Fruit / Vegetable Beer,40,12.00
249,0.07,60.00,2585,Galaxy IPA,American IPA,40,16.00
250,0.05,32.00,643,Big River Pilsner,Czech Pilsener,519,12.00
251,0.06,55.00,632,House Brand IPA,American IPA,519,12.00
252,0.06,65.00,1714,Big Sky IPA,American IPA,336,12.00
253,0.05,40.00,1713,Scape Goat Pale Ale,English Pale Ale,336,12.00
254,0.05,35.00,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.00
255,0.05,26.00,1711,Moose Drool Brown Ale,American Brown Ale,336,12.00
256,0.07,60.00,1456,Powder Hound Winter Ale,English Strong Ale,336,12.00
257,0.05,26.00,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.00
258,0.05,35.00,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.00
259,0.06,65.00,579,Big Sky IPA (2012),American IPA,336,12.00
260,0.05,0.00,168,Summer Honey,American Blonde Ale,336,12.00
261,0.05,40.00,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.00
262,0.05,35.00,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.00
263,0.05,26.00,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.00
264,0.07,81.00,2096,Arcus IPA,American IPA,221,12.00
265,0.06,38.00,2095,Wavemaker,American Amber / Red Ale,221,12.00
266,0.05,43.00,1257,Jack Pine Savage,American Pale Ale (APA),444,16.00
267,0.10,85.00,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.00
268,0.10,76.00,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.00
269,0.06,35.00,986,Morning Wood,Oatmeal Stout,444,16.00
270,0.07,50.00,985,Bark Bite IPA,American IPA,444,16.00
271,0.06,45.00,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.00
272,0.05,0.00,1441,Blown Out Brown,American Brown Ale,407,12.00
273,0.06,0.00,1413,Single Hop Ale,American Pale Ale (APA),407,12.00
274,0.05,0.00,1411,Sawtooth Ale,American Blonde Ale,407,12.00
275,0.07,75.00,2620,Saucy Intruder,Rye Beer,18,16.00
276,0.04,16.00,2412,Deception,American Blonde Ale,112,12.00
277,0.07,35.00,1898,Blackmarket Rye IPA,American IPA,112,12.00
278,0.05,8.00,1897,Black Market Hefeweizen,Hefeweizen,112,12.00
279,0.06,44.00,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.00
280,0.07,83.00,1850,American India Red Ale,American Strong Ale,294,12.00
281,0.07,45.00,1849,American Red Porter,American Porter,294,12.00
282,0.08,34.00,1848,American Red Saison,Saison / Farmhouse Ale,294,12.00
283,0.07,44.00,1847,Colorado Red Ale,American Amber / Red Ale,294,12.00
284,0.05,16.00,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.00
285,0.05,20.00,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.00
286,0.07,0.00,2449,Flying Sailor,Rye Beer,95,12.00
287,0.05,47.00,2634,Nordskye,American IPA,12,12.00
288,0.06,30.00,2153,North Third Stout,Foreign / Export Stout,12,12.00
289,0.05,0.00,1953,Honey Lav,American Pale Wheat Ale,12,12.00
290,0.07,0.00,1496,Coconut Brown Ale,American Brown Ale,12,12.00
291,0.07,51.00,1481,51K IPA,American IPA,12,12.00
292,0.06,0.00,1480,Grand Rabbits,Cream Ale,12,12.00
293,0.05,0.00,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12.00
294,0.00,0.00,1541,Double Play Pilsner,American Pilsner,380,12.00
295,0.06,0.00,1321,Brewerhood Brown Ale,American Brown Ale,380,12.00
296,0.08,0.00,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,380,12.00
297,0.10,0.00,1319,Pernicious Double IPA,American Double / Imperial IPA,380,12.00
298,0.05,0.00,1303,6-4-3 Double Play Pilsner,German Pilsener,380,12.00
299,0.00,0.00,1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380,12.00
300,0.05,0.00,1012,467 Ethans Stout,American Stout,380,12.00
301,0.06,0.00,942,1335 Wicked Snout,Saison / Farmhouse Ale,380,12.00
302,0.04,0.00,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380,12.00
303,0.06,37.00,888,1327 Pods ESB,Extra Special / Strong Bitter (ESB),380,12.00
304,0.06,37.00,886,1327 Pods ESB,Extra Special / Strong Bitter (ESB),380,12.00
305,0.06,37.00,612,1327 Pods ESB,Extra Special / Strong Bitter (ESB),380,12.00
306,0.05,35.00,611,834 Happy As Ale,American Pale Ale (APA),380,12.00
307,0.06,0.00,1372,Yellow Collar,Mead,422,12.00
308,0.06,0.00,1371,Green Collar,Mead,422,12.00
309,0.08,80.00,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.00
310,0.06,60.00,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.00
311,0.07,30.00,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.00
312,0.05,22.00,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.00
313,0.06,60.00,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.00
314,0.05,16.00,1408,Kölsch 151,Kölsch,414,12.00
315,0.00,0.00,2490,Professor Black,American Stout,77,12.00
316,0.00,0.00,2489,Little Boss,American Pale Wheat Ale,77,12.00
317,0.00,0.00,2488,Van Dayum!,American Amber / Red Ale,77,12.00
318,0.00,0.00,2487,Spirit Animal,American Pale Ale (APA),77,12.00
319,0.07,0.00,939,Toxic Sludge,American Black Ale,489,16.00
320,0.06,40.00,692,Blue Point White IPA,American White IPA,489,12.00
321,0.04,16.00,667,Blue Point Summer Ale,American Blonde Ale,489,12.00
322,0.06,28.00,665,Toasted Lager,Vienna Lager,489,12.00
323,0.06,0.00,1607,Bohemian Export Lager,Dortmunder / Export Lager,364,12.00
324,0.05,0.00,1597,Altus Bohemes Altbier,Altbier,364,12.00
325,0.04,0.00,344,Cherny Bock,Schwarzbier,364,12.00
326,0.05,0.00,89,Czech Pilsner,Czech Pilsener,364,12.00
327,0.05,0.00,88,Viennese Lager,Vienna Lager,364,12.00
328,0.07,0.00,1569,Mad Manatee IPA,American IPA,378,12.00
329,0.06,0.00,1568,Killer Whale Cream Ale,Cream Ale,378,12.00
330,0.06,0.00,1188,Dukes Cold Nose Brown Ale,American Brown Ale,378,12.00
331,0.04,30.00,1891,Longhop IPA,American IPA,281,16.00
332,0.04,34.00,1890,Lucky Buck,Irish Dry Stout,281,16.00
333,0.05,0.00,577,Bomb Lager (New Recipe),Munich Helles Lager,525,12.00
334,0.04,27.00,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.00
335,0.07,72.00,2422,Firestarter India Pale Ale,American IPA,107,12.00
336,0.07,22.00,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.00
337,0.05,30.00,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.00
338,0.06,26.00,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.00
339,0.07,94.00,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.00
340,0.05,0.00,1548,Slow & Steady Golden Ale,American Blonde Ale,107,12.00
341,0.07,0.00,1517,Pink-I Raspberry IPA,American IPA,107,16.00
342,0.05,0.00,1500,Moes Original Bar B Que Bama Brew Golden Ale,American Blonde Ale,107,12.00
343,0.05,0.00,1421,Live Local Golden Ale,American Blonde Ale,107,12.00
344,0.05,38.00,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.00
345,0.05,0.00,1184,Dirtbag Dunkel,Munich Dunkel Lager,107,16.00
346,0.05,45.00,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.00
347,0.06,0.00,1023,Mistress Winter Wheat,Winter Warmer,107,12.00
348,0.06,0.00,998,Tent Pole Vanilla Porter,American Porter,107,16.00
349,0.06,0.00,997,Awry Rye Pale Ale,American Pale Ale (APA),107,12.00
350,0.06,0.00,996,Demshitz Brown Ale,American Brown Ale,107,12.00
351,0.05,0.00,931,Wood Splitter Pilsner (2012),Czech Pilsener,107,12.00
352,0.05,0.00,798,Brush Creek Blonde,American Blonde Ale,107,16.00
353,0.07,72.00,633,Firestarter India Pale Ale,American IPA,107,16.00
354,0.07,16.00,2062,Noche Dulce,American Porter,231,16.00
355,0.04,8.00,1830,Porch Rocker,Radler,300,12.00
356,0.07,45.00,1629,Rebel IPA,American IPA,300,16.00
357,0.06,0.00,1601,Cold Snap,Witbier,300,12.00
358,0.06,0.00,1427,Samuel Adams Winter Lager,Bock,300,12.00
359,0.05,30.00,1349,Boston Lager,Vienna Lager,300,16.00
360,0.05,30.00,1310,Boston Lager,Vienna Lager,300,12.00
361,0.05,15.00,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12.00
362,0.05,7.00,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12.00
363,0.05,30.00,1143,Boston Lager,Vienna Lager,300,12.00
364,0.05,35.00,1395,Hazed & Infused,American Pale Ale (APA),417,12.00
365,0.06,35.00,808,Hoopla Pale Ale,American Pale Ale (APA),417,12.00
366,0.05,35.00,81,Hazed & Infused (2010),American Pale Ale (APA),417,12.00
367,0.06,80.00,2596,Heavy Lifting,American IPA,31,12.00
